,id,created_at,text,favorite_count,retweet_count,reply_count,hashtags
57,9.16E+17,07/10/17 00:50,Midnight - Report of assault on Parker St (possible fractured cheek)\n\n1am - 3 youths arrested on Deansgate in relat\xe2\x80\xa6 https://t.co/JyxaLZracV',8,1,40,[]
58,9.16E+17,07/10/17 00:43,@OfficialTfGM Parker St bus station re-opened at 2am @OfficialTfGM',0,0,47,[]
59,9.16E+17,07/10/17 00:20,@OfficialTfGM 1am - 3 now arrested on Deansgate in relation to this incident',2,0,53,[]
60,9.16E+17,06/10/17 23:22,@georgiaxstatham Nasty assault on Parker St bus station',0,0,49,[]
61,9.16E+17,06/10/17 23:19,"Helping us make the holes in the safety net a little bit smaller tonight, are wonderful volunteers from @LGBTfdn_Angels  + @McrStreetAngels'",28,6,66,[]
62,9.16E+17,06/10/17 23:02,"@njmcfc1894 As we speak, there are officers in Piccadilly Gardens'",2,0,30,[]
63,9.16E+17,06/10/17 22:52,"11.30 - 1st Arrest. Man kicking off on Bloom St arrested D&amp;D. Ironically, also wanted for failing to appear at cour\xe2\x80\xa6 https://t.co/ax5aznmpZi'",37,7,57,[]
64,9.16E+17,06/10/17 21:17,"Youth arrested sus dealing Piccadilly Gardens says rown &amp; white'  is drinking chocolate &amp; paracetamol. Thoughts? https://t.co/A6aymDqtOC""",21,6,50,[]
65,9.16E+17,06/10/17 21:04,Plain clothes cops on #OpMandera in Piccadilly Gardens this evening have made 2 arrests for drugs supply. Updates to follow...',25,3,59,"[{'text': 'OpMandera', 'indices': [22, 32]}]"
66,9.16E+17,06/10/17 20:41,Village Haven in the Gay Village Fri/Sat nights 11pm-5am assisting people who unexpectedly need help on a night out https://t.co/sQ9BnbkYyc',15,10,49,[]
67,9.16E+17,06/10/17 19:28,@jacquicotter Still here...brackets got gremlined though on last Tweet/Post so removed',0,0,22,[]
68,9.16E+17,06/10/17 19:26,Know the men involved in this armed robbery in Didsbury? Recognise the face or those blue undies?\xe2\x80\xa6 https://t.co/0NVZy4m9RC',17,30,54,[]
69,9.16E+17,06/10/17 16:02,Make it harder for burglars and keep your home well lit with a light-timer when you go out #AlarmsLocksLights https://t.co/l4flHSIwDs',2,0,47,"[{'text': 'AlarmsLocksLights', 'indices': [91, 109]}]"
70,9.16E+17,06/10/17 11:52,Police @ManchesterASBAT @ManCityCouncil tackle complex begging issue #streetVulnerable #streetAction see FB details https://t.co/bl5d8AHv9E',8,6,40,"[{'text': 'streetVulnerable', 'indices': [69, 86]}, {'text': 'streetAction', 'indices': [87, 100]}]"
71,9.16E+17,06/10/17 11:35,"Indoor drop-ins tonight. Meals, clothes &amp; support to Mcr's r/sleepers\n7-8:30pm @MustardTreeMcr\n7-9pm @Coffee4Craig https://t.co/YmdCs4moWY""",14,12,43,[]
72,9.16E+17,05/10/17 20:01,Make it as hard as possible for burglars and turn your security alarm on at night-time and when you go out.\xe2\x80\xa6 https://t.co/GXmh38f7Qw',0,0,50,[]
73,9.16E+17,05/10/17 16:03,Missing a moggy?\nRSPCA pics of cats recovered after responding to reports a woman  was stealing them. MEN report: https://t.co/snATj4KKsV',24,58,74,[]
74,9.16E+17,05/10/17 06:33,"...and we'll not be discussing anything to do with P45s!""",52,2,51,[]
75,9.16E+17,05/10/17 06:32,GMP statement as Conservative party conference ends:  https://t.co/OQP73LE6kz',14,5,40,[]
76,9.16E+17,05/10/17 06:28,@Race__Tips Tough decision that...we are still thinking...',0,0,69,[]
77,9.16E+17,05/10/17 06:27,@Hack_Heaven We were monitoring a protest.',0,0,45,[]
78,9.16E+17,05/10/17 06:25,"@Amylovesbacon Insp S - email and we'll give some basic safety advice - phil.spurgeon@gmp.police.uk""",1,0,41,[]
79,9.16E+17,05/10/17 06:23,@AmyLeedsTory @RBEhotels @TheMidlandQ @mcr_central @gmpolice Insp S - Thanks for those kind words',1,0,37,[]
80,9.16E+17,04/10/17 18:02,Make it as hard as possible for burglars and turn your security alarm on at night-time and when you go out.\xe2\x80\xa6 https://t.co/BxPGl4LNFT',5,2,43,[]
81,9.16E+17,04/10/17 17:54,RT @Cas2822: Today is #WorldAnimalDay\xf0\x9f\x98\x8d proud of all those working to keep us safe\xf0\x9f\x8c\x9fHexam &amp; Captain are just 2 of 8 @GMPCityCentre patrolling\xe2\x80\xa6',0,22,69,"[{'text': 'WorldAnimalDay', 'indices': [22, 37]}]"
82,9.16E+17,04/10/17 16:03,Make it as hard as possible for burglars and turn your security alarm on at night-time and when you go out.\xe2\x80\xa6 https://t.co/ObnNUwg1Md',4,5,59,[]
83,9.16E+17,04/10/17 15:49,Make it harder for burglars and keep your home well lit with a light-timer when you go out #AlarmsLocksLights https://t.co/l4flHSIwDs',2,2,57,"[{'text': 'AlarmsLocksLights', 'indices': [91, 109]}]"
84,9.16E+17,04/10/17 13:47,Video footage of Geoffrey Ralph from #Tameside has been released. Call 101 if you know where he is. #Missing https://t.co/8ncnSYJwRQ',0,14,51,"[{'text': 'Tameside', 'indices': [37, 46]}, {'text': 'Missing', 'indices': [100, 108]}]"
85,9.16E+17,04/10/17 13:46,@DavidJonFindlay @gmpolice @Conservatives Insp S - Thanks for those kind words',2,0,52,[]
86,9.16E+17,04/10/17 13:44,"Recognise this male, who we want to speak to about an attempted murder in Timperley? https://t.co/9WKFpeKxHE https://t.co/rEupKj0W3n'",0,11,55,[]
87,9.16E+17,04/10/17 12:28,Busy 1st month @Coffee4Craig &amp; @notjustsoupMCR successful indoor homeless drop-in @centrepointuk #streetVulnerable  https://t.co/o9TODsrsiO',10,9,52,"[{'text': 'streetVulnerable', 'indices': [101, 118]}]"
88,9.16E+17,04/10/17 10:15,Our online chat is a chance to ask us a question online. Keep an eye on our social media accounts to find out when it\xe2\x80\x99s happening #GMP4U',8,0,51,"[{'text': 'GMP4U', 'indices': [130, 136]}]"
89,9.16E+17,04/10/17 08:54,Any info on who did this armed robbery in Salford? GMP appeal + CCTV: https://t.co/49MCeRryKR',0,3,59,[]
90,9.16E+17,04/10/17 08:52,Police are appealing for the public\xe2\x80\x99s help to trace a wanted man from Crumpsall:  https://t.co/3dmN2JM5zR',1,5,48,[]
91,9.15E+17,04/10/17 08:43,@CitizenShayler @gmpolice Insp S - Thanks for those kind words',1,1,52,[]
92,9.15E+17,04/10/17 08:42,@halfon4harlowMP @gmpolice @Conservatives Insp S - thanks for those kind words',0,0,41,[]
93,9.15E+17,04/10/17 08:14,Man charged after fatal stabbing on John Dalton St at the weekend. GMP update: https://t.co/tA9ObCW5UN',9,5,65,[]
94,9.15E+17,04/10/17 07:23,"@benshatliff @benshatliff Insp S - you've every right to ask...and we'll always tell you unless it's not appropriate. You have a good day""",0,0,63,[]
95,9.15E+17,04/10/17 07:18,"And we're off!\n\n7.41am - First arrest of the day\n\nMan for Drunk &amp; Disorderly in Piccadilly Gardens https://t.co/KO6bfPnavX""",31,1,31,[]
96,9.15E+17,04/10/17 06:15,@benshatliff She was wanted for breach of a court order',0,0,47,[]
97,9.15E+17,03/10/17 21:12,"@ManCityCouncil (2/2) last year man caused ASB &amp; @ManchesterASBAT got Injunction. Same police arrested him then, no\xe2\x80\xa6 https://t.co/lsQwvPwuC3'",9,3,55,[]
98,9.15E+17,03/10/17 21:00,"@Peroni141 @ManCityCouncil No, but he is on our list of priorities before winter.'",0,0,54,[]
99,9.15E+17,03/10/17 20:52,(1/2) Good news - police refer 47yr homeless man @ManCityCouncil Rough Sleeper Team &amp; he is now in accom &amp; getting support #streetVulnerable',83,9,57,"[{'text': 'streetVulnerable', 'indices': [131, 148]}]"
100,9.15E+17,03/10/17 19:49,@bluemooncammie Sorry to hear your wallet has gone. You can report on 101',0,0,45,[]
101,9.15E+17,03/10/17 18:47,RT @BBCRadioManc: The Chief Constable of Greater Manchester Police @CCIanHopkins is taking your questions: \n\nON AIR THURSDAY 09:00 \nTweet o\xe2\x80\xa6',0,24,37,[]
102,9.15E+17,03/10/17 16:28,"Conference is on, but we're still addressing our key issues. See our FB for details of 3 Piccadilly arrests today: https://t.co/WODQLa8Nu",7,3,53,[]
103,9.15E+17,03/10/17 16:13,Image released following attempted bank robbery in Sale. Do you recognise this woman? https://t.co/HjkhRQRIcu https://t.co/jl48mOcv9E',1,16,34,[]
104,9.15E+17,03/10/17 15:49,"Know these men, who detectives want to speak to about city centre rape? MEN report: https://t.co/jNmLphaOnm'",7,54,56,[]
105,9.15E+17,03/10/17 13:59,Officers on foot patrol in Piccadilly Gardens have found a man wanted on recall to prison (parole licence revoked)\xe2\x80\xa6 https://t.co/6EZF56sovI',15,4,57,[]
106,9.15E+17,03/10/17 13:54,RT @GMPCheetham: Susssssss circs for #OpStroke team this morning while out policing your neighbourhood. https://t.co/5owTkMPMau',0,1,30,"[{'text': 'OpStroke', 'indices': [37, 46]}]"
107,9.15E+17,03/10/17 13:49,Man arrested after fatal stabbing on John Dalton St at the weekend:  https://t.co/CpRW6mzDFQ',9,2,59,[]
108,9.15E+17,03/10/17 12:34,"@Roachiesworld @gmpolice @GMPSale Insp S - This prompted us to Tweet the article from the MEN, thanks'",2,0,47,[]
109,9.15E+17,03/10/17 12:25,"@Lisas_Wifey Insp S - regardless of whether city centre or not, email and I'll check where cops up to - phil.spurgeon@gmp.police.uk""",1,0,43,[]
110,9.15E+17,03/10/17 11:32,@RunDenBoyRun @RunDenBoyRun Some are simply recidivist?',0,0,54,[]
111,9.15E+17,03/10/17 11:06,"@RunDenBoyRun @RunDenBoyRun We've arrested him 78 times since 2003 - we don't decide outcome when it gets to court.""",0,0,62,[]
112,9.15E+17,03/10/17 10:29,"'Family and friends appeal for help to find Caspar Blackburn, 22, missing after a night out in Sale' - MEN report: https://t.co/dDd3T2jbkk""",21,92,65,[]
113,9.15E+17,03/10/17 10:08,RT @gmpolice: Join our Twitterchat with Det Supt Jon Chadwick before #TheDetectives tomorrow at 9pm @BBCTwo. Send questions in using #AskGM\xe2\x80\xa6',0,21,37,"[{'text': 'TheDetectives', 'indices': [69, 83]}]"
114,9.15E+17,03/10/17 10:06,#OpProtector officers on for another day policing #CPC17 . Feel free to pop over and say hi as you make your way ar\xe2\x80\xa6 https://t.co/S2QppuTPW6',12,0,45,"[{'text': 'OpProtector', 'indices': [0, 12]}, {'text': 'CPC17', 'indices': [50, 56]}]"
115,9.15E+17,03/10/17 09:50,"@RunDenBoyRun I put the Facebook update on this, just for you! https://t.co/o4CXtCaLG9'",0,0,51,[]
116,9.15E+17,03/10/17 09:48,"@RunDenBoyRun @RunDenBoyRun From Insp S (real police person) - very different scenarios which can't be directly compared""",0,0,50,[]
117,9.15E+17,03/10/17 09:36,Why on earth would you go anywhere near Conference if you were wanted?\n\nMan wanted for breach court order arrested\xe2\x80\xa6 https://t.co/BdSxqlo6SX',30,4,45,[]
118,9.15E+17,03/10/17 09:33,"@OuttaNorden @gmptraffic Thanks, but Insp S is sticking with 3/10, which @MintRoyale generously gave earlier. You have a great day'",0,0,26,[]
119,9.15E+17,03/10/17 09:30,"@katherinemcd12 @JenWilliamsMEN @katherinemcd12 We'll assess immediate needs while in custody, which includes medical and mental health""",0,0,47,[]
120,9.15E+17,03/10/17 09:23,@webtronix7 See our Facebook for update: https://t.co/NDPgHvTGHY',0,0,38,[]
121,9.15E+17,03/10/17 09:22,@RunDenBoyRun See our Facebook for update: https://t.co/13Sx4GFpRt',0,0,50,[]
122,9.15E+17,03/10/17 09:21,@versusg See our Facebook for update: https://t.co/WxVatG4GLJ',0,0,41,[]
123,9.15E+17,03/10/17 09:21,@MaxConcrete See our Facebook for update: https://t.co/zbVVPwpSiI',0,0,48,[]
124,9.15E+17,03/10/17 09:21,@katherinemcd12 @JenWilliamsMEN See our Facebook for update: https://t.co/0CiiWCyB8R',1,0,42,[]
125,9.15E+17,03/10/17 09:20,@richardmlp See our Facebook for update: https://t.co/EAb83JLUKX',0,0,45,[]
126,9.15E+17,03/10/17 09:20,@DNicoros See our Facebook for update: https://t.co/5euJ0SCGQX',0,0,46,[]
127,9.15E+17,03/10/17 09:19,@Pompytrunk @MENnewsdesk See our Facebook for update: https://t.co/LC9UlLPEFe',0,0,63,[]
128,9.15E+17,03/10/17 09:19,@drahctirpmit @MENnewsdesk See our Facebook for update: https://t.co/cz6s7eZPFs',1,0,57,[]
129,9.15E+17,03/10/17 09:14,Lively discussion on this Tweet. See our update on our Facebook post on this one for wider circumstances: https://t.co/Ud3uY4WMNl',8,1,47,[]
130,9.15E+17,03/10/17 08:20,@DNicoros No need to go hungry or steal food. Lots of places open every day for good + advice - see @streetsupportuk',4,0,37,[]
131,9.15E+17,03/10/17 08:19,@Pompytrunk @MENnewsdesk @janekleimunt No need to go hungry or steal food. Lots of places open every day for good +\xe2\x80\xa6 https://t.co/J5xtLXlKyg',0,0,60,[]
132,9.15E+17,03/10/17 08:17,@katherinemcd12 @JenWilliamsMEN No need to go hungry or steal good. Lots of places open every day for  food + advice - see @streetsupportuk',3,0,35,[]
133,9.15E+17,03/10/17 08:14,"@richardmlp Man arrested 60+ times; that's a lot of victims. No need to go hungry of steal food - @streetsupportuk\xe2\x80\xa6 https://t.co/5103klgWuZ""",6,1,38,[]
134,9.15E+17,03/10/17 07:39,"@Pompytrunk @MENnewsdesk No need for anyone to go hungry or steal food. Here's @streetsupportuk list of what's open\xe2\x80\xa6 https://t.co/3kG3SmDO36""",5,4,42,[]
135,9.15E+17,03/10/17 07:31,"@MintRoyale @gmptraffic Thanks, that's a new high score for Insp S""",2,0,40,[]
136,9.15E+17,03/10/17 07:24,"Renault Megane became a Renault Me Gone, after @gmptraffic seized one on Lower Byrom St last night for no insurance or tax'",48,2,40,[]
137,9.15E+17,03/10/17 07:19,"7.11am - First shoplifter arrest\nMan tried stealing steak, then ate a cheesecake in the store, before hiding a bott\xe2\x80\xa6 https://t.co/bMLq8vE0eV'",162,71,62,[]
138,9.15E+17,03/10/17 07:14,"There is no such thing as 'free drugs'\n\nSee our Facebook page for details of another frequent city centre scam:  https://t.co/9ueazonrP5""",1,2,48,[]
139,9.15E+17,02/10/17 20:09,Police find 17-year-old missing sleeping rough in city. Cops dedicated to homelessness have taken them to place of safety #streetVulnerable',59,12,42,"[{'text': 'streetVulnerable', 'indices': [122, 139]}]"
140,9.15E+17,02/10/17 18:59,"@Uberdry @GMPDidsbury If neighbours have no knowledge, ring 101 to report highway obstruction'",0,0,56,[]
141,9.15E+17,02/10/17 17:19,@Whitmore03David Red all over and needed an amberlance?',3,0,51,[]
142,9.15E+17,02/10/17 17:12,Policing the protests\n\nPictures from yesterdays demonstrations on GMP Flickr:  https://t.co/NWsj0EncT6',4,1,37,[]
143,9.15E+17,02/10/17 16:47,"Recognise any of these men, that @BTPManchester want to speak to about bike thefts at stations? https://t.co/nsR09Iz3pP'",8,36,44,[]
144,9.15E+17,02/10/17 16:39,@dwtomlinson This ITV website report gives you an idea of the work we are doing: https://t.co/OAUmLeG2Lr',1,0,55,[]
145,9.15E+17,02/10/17 16:24,@karen25389 Thanks for those kinds words - we hope you had a good day',2,0,69,[]
146,9.15E+17,02/10/17 15:53,We make no apology for taking action against those on the streets causing ASB or crime. See our FB for case study: https://t.co/DPMdViJm3x',10,2,65,[]
147,9.15E+17,02/10/17 15:49,Make it harder for burglars and keep your home well lit with a light-timer when you go out #AlarmsLocksLights https://t.co/l4flHSIwDs',5,3,58,"[{'text': 'AlarmsLocksLights', 'indices': [91, 109]}]"
148,9.15E+17,02/10/17 15:00,Make it as hard as possible for burglars and turn your security alarm on at night-time and when you go out.\xe2\x80\xa6 https://t.co/Hybw8W9IPR',4,3,49,[]
149,9.15E+17,02/10/17 14:48,@ilovegirls2020 Sorry if everything gone a bit fuzzy man',18,2,32,[]
150,9.15E+17,02/10/17 14:35,"Keep off the grass..\n\nIf you dropped your weed in Piccadilly Gardens today you dope, don't worry, we picked it up.\xe2\x80\xa6 https://t.co/fv1i6Wk2c3""",205,50,42,[]
151,9.15E+17,02/10/17 14:03,"In between jobs, we're tackling road safety issues. This cabbie just fined for no right turn Albert Sq into Princes\xe2\x80\xa6 https://t.co/7rSTZQrKNr""",27,3,47,[]
152,9.15E+17,02/10/17 13:53,"RT @gmpolice: Need to talk to us about a non-emergency? We're testing our live chat facility via our website now https://t.co/rvzu5S8tlQ""",0,12,54,[]
153,9.15E+17,02/10/17 11:39,Midday - Woman arrested on Deansgate for breach of Dispersal Notice (48 hr city ban) issued on St Peter Square yest\xe2\x80\xa6 https://t.co/yC6leuTd5A',8,4,50,[]
154,9.15E+17,02/10/17 11:16,11am - 42 yr old man arrested on John Dalton St for breach of court order (fail to comply with post custodial super\xe2\x80\xa6 https://t.co/RjpPfKvsAO',4,1,50,[]
155,9.15E+17,02/10/17 09:34,Partners @ManchesterASBAT exploring support options such as what positive requirements can help  improve lives long\xe2\x80\xa6 https://t.co/FBBwIFDWXX',1,1,68,[]
156,9.15E+17,02/10/17 09:25,"Rhys Davies 21 yrs charged with assaulting a police officer, after arrest on Peter St at 5am today. Appears in cour\xe2\x80\xa6 https://t.co/YVU0qet5f0'",5,0,53,[]
157,9.15E+17,02/10/17 09:21,Police &amp; @ManCityCouncil Anti-Social Behaviour Action Team @ManchesterASBAT enforce if support refused #streetAction https://t.co/PPYrkxnjZ5',2,1,47,"[{'text': 'streetAction', 'indices': [107, 120]}]"
158,9.15E+17,02/10/17 09:14,Christopher Lynam 21 yrs of no fixed address charged with theft of charity box from store on Oxford St and obstruct\xe2\x80\xa6 https://t.co/DfYwSc5wxV',3,2,45,[]
159,9.15E+17,02/10/17 09:08,"@therealdaftbear We cannot discuss specifics, as now subject to court proceedings, sorry'",1,0,50,[]
160,9.15E+17,02/10/17 08:56,"Dennis Queen 44 yrs of Burnage charged overnight with public nuisance, following arrest in St Peters Square yesterd\xe2\x80\xa6 https://t.co/GmvjEGvuBF'",2,3,41,[]
161,9.15E+17,02/10/17 08:48,Daniel Peter Jones 29 yrs of no fixed address charged overnight with malicious communications offence and appears i\xe2\x80\xa6 https://t.co/gNvDFF9mGv',4,3,63,[]
